Date,Violation Year,Violation Month,Violation Day of Week,Age at Violation,Gender,Violation Description,Violation Charged Code
2023-08-09,2023,10,3,38,Female,Equipment violation,TC3582
2023-11-02,2023,12,6,41,Female,Unsafe lane change,TC4958
2023-12-11,2023,11,6,27,Female,Mobile phone violation,TC2501
2023-12-07,2023,1,4,53,Female,Seat belt violation,TC5595
2023-03-28,2023,8,7,38,Female,Mobile phone violation,TC3151
2023-05-17,2023,12,2,39,Female,Following too closely,TC6868
2023-09-12,2023,12,1,39,Male,Speeding - 11-20 mph over limit,TC2449
2023-08-20,2023,8,3,36,Female,Stop sign violation,TC1530
2023-03-27,2023,3,4,41,Male,Unsafe lane change,TC1930
2023-07-27,2023,10,6,48,Male,Mobile phone violation,TC8945
2023-08-20,2023,3,1,57,Male,Speeding - 1-10 mph over limit,TC3089
2023-09-20,2023,11,7,27,Male,Following too closely,TC3140
2023-03-30,2023,11,1,25,Female,Speeding - 1-10 mph over limit,TC4385
2023-11-26,2023,12,1,32,Male,Mobile phone violation,TC1089
2023-01-04,2023,5,7,41,Female,Speeding - 1-10 mph over limit,TC7195
2023-06-11,2023,12,7,24,Female,Speeding - 1-10 mph over limit,TC1133
2023-03-25,2023,4,1,39,Female,Unsafe lane change,TC5717
2023-06-10,2023,3,4,43,Male,Unsafe lane change,TC3677
2023-04-11,2023,9,6,54,Male,Mobile phone violation,TC9655
2023-01-31,2023,2,7,56,Male,Following too closely,TC8657
2023-10-17,2023,7,5,58,Female,Speeding - 1-10 mph over limit,TC5241
2023-12-16,2023,6,4,40,Male,Following too closely,TC9792
2023-08-08,2023,11,5,45,Male,Following too closely,TC9718
2023-07-14,2023,3,1,19,Female,Stop sign violation,TC6212
2023-01-06,2023,6,5,32,Female,Following too closely,TC7622
2023-02-26,2023,8,1,18,Male,Unsafe lane change,TC6390
2023-07-29,2023,6,5,32,Male,Speeding - 1-10 mph over limit,TC7558
2023-06-16,2023,12,4,41,Female,Following too closely,TC9120
2023-11-06,2023,2,1,59,Female,Seat belt violation,TC7446
2023-07-03,2023,1,1,27,Male,Seat belt violation,TC1588
2023-12-30,2023,1,7,52,Male,Stop sign violation,TC4347
2023-08-09,2023,8,4,48,Male,Stop sign violation,TC5448
2023-09-18,2023,5,5,23,Female,Seat belt violation,TC1465
2023-05-05,2023,7,2,59,Male,Speeding - 1-10 mph over limit,TC6117
2023-10-10,2023,4,2,54,Male,Unsafe lane change,TC4687
2023-02-18,2023,11,4,65,Male,Mobile phone violation,TC1951
2023-11-27,2023,7,1,48,Male,Mobile phone violation,TC2615
2023-09-18,2023,6,4,36,Male,Speeding - 1-10 mph over limit,TC4372
2023-02-25,2023,7,2,46,Male,Seat belt violation,TC1300
2023-10-18,2023,4,5,40,Female,Seat belt violation,TC3890
2023-05-18,2023,7,4,33,Female,Red light violation,TC1960
2023-06-11,2023,5,7,18,Female,Equipment violation,TC2836
2023-11-16,2023,8,4,26,Female,Stop sign violation,TC7432
2023-03-08,2023,6,6,56,Male,Speeding - 1-10 mph over limit,TC7451
2023-10-04,2023,6,1,30,Female,Unsafe lane change,TC3574
2023-12-12,2023,9,5,30,Female,Stop sign violation,TC8123
2023-05-04,2023,2,1,21,Male,Following too closely,TC8902
2023-07-10,2023,10,4,21,Male,Speeding - 11-20 mph over limit,TC4387
2023-04-25,2023,3,3,37,Male,Unsafe lane change,TC6371
2023-07-18,2023,5,4,24,Female,Speeding - 11-20 mph over limit,TC2370
2023-03-02,2023,6,6,38,Male,Following too closely,TC6947
2023-12-21,2023,7,7,29,Female,Red light violation,TC5570
2023-01-09,2023,7,3,27,Male,Equipment violation,TC5242
2023-03-03,2023,10,2,57,Male,Speeding - 11-20 mph over limit,TC9094
2023-09-13,2023,6,3,44,Male,Speeding - 11-20 mph over limit,TC8593
2023-04-19,2023,9,3,25,Male,Following too closely,TC1887
2023-01-22,2023,3,1,32,Female,Stop sign violation,TC7962
2023-07-12,2023,4,7,51,Male,Stop sign violation,TC4302
2023-01-02,2023,2,3,46,Male,Speeding - 11-20 mph over limit,TC3195
2023-08-14,2023,5,2,18,Male,Following too closely,TC3240
2023-09-18,2023,1,2,35,Male,Unsafe lane change,TC8703
2023-05-12,2023,4,3,59,Female,Seat belt violation,TC3271
2023-01-03,2023,7,7,34,Male,Mobile phone violation,TC4915
2023-03-27,2023,7,4,44,Female,Equipment violation,TC3627
2023-03-19,2023,10,3,33,Male,Speeding - 11-20 mph over limit,TC3536
2023-04-04,2023,9,4,31,Female,Red light violation,TC1608
2023-10-15,2023,7,1,57,Male,Equipment violation,TC9452
2023-04-11,2023,11,4,55,Male,Following too closely,TC3050
2023-10-06,2023,11,6,62,Female,Stop sign violation,TC4754
2023-11-19,2023,1,7,19,Female,Speeding - 11-20 mph over limit,TC7793
2023-05-02,2023,7,3,28,Female,Unsafe lane change,TC4749
2023-04-10,2023,3,7,64,Female,Following too closely,TC3641
2023-12-22,2023,1,3,44,Male,Seat belt violation,TC9675
2023-09-08,2023,12,4,48,Female,Mobile phone violation,TC3830
2023-08-22,2023,5,6,56,Female,Following too closely,TC9237
2023-04-13,2023,12,1,37,Male,Speeding - 11-20 mph over limit,TC9186
2023-08-11,2023,12,6,49,Female,Stop sign violation,TC6392
2023-01-23,2023,6,3,57,Male,Speeding - 11-20 mph over limit,TC4226
2023-11-10,2023,12,2,35,Male,Equipment violation,TC7810
2023-06-25,2023,11,4,30,Male,Unsafe lane change,TC7882
2023-04-28,2023,2,4,38,Female,Stop sign violation,TC9655
2023-12-04,2023,1,4,61,Male,Seat belt violation,TC8779
2023-11-12,2023,3,6,43,Male,Speeding - 11-20 mph over limit,TC7217
2023-08-05,2023,8,4,65,Female,Equipment violation,TC1552
2023-10-27,2023,2,2,39,Female,Following too closely,TC9612
2023-08-29,2023,7,1,26,Male,Red light violation,TC3629
2023-07-23,2023,6,5,36,Female,Speeding - 1-10 mph over limit,TC3493
2023-10-06,2023,5,7,46,Male,Speeding - 11-20 mph over limit,TC2383
2023-04-18,2023,5,5,40,Female,Unsafe lane change,TC5329
2023-07-23,2023,4,6,33,Male,Unsafe lane change,TC7145
2023-06-04,2023,3,1,19,Male,Seat belt violation,TC9288
2023-10-23,2023,8,6,56,Female,Following too closely,TC2291
2023-02-15,2023,1,5,30,Female,Seat belt violation,TC7405
2023-05-03,2023,5,5,43,Male,Stop sign violation,TC2141
2023-07-22,2023,8,6,22,Male,Stop sign violation,TC8240
2023-03-07,2023,11,1,56,Male,Speeding - 11-20 mph over limit,TC9479
2023-05-27,2023,1,3,24,Female,Red light violation,TC6568
2023-12-20,2023,2,4,54,Male,Speeding - 11-20 mph over limit,TC6204
2023-01-19,2023,11,3,25,Male,Red light violation,TC8656
2023-12-19,2023,7,5,29,Male,Stop sign violation,TC6055
2023-09-22,2023,8,2,30,Female,Speeding - 11-20 mph over limit,TC2623
2023-02-15,2023,6,5,28,Male,Stop sign violation,TC7711
2023-10-17,2023,5,4,55,Female,Red light violation,TC3275
2023-08-04,2023,1,6,18,Male,Seat belt violation,TC2049
2023-06-01,2023,1,6,29,Female,Mobile phone violation,TC9029
2023-09-26,2023,8,1,53,Female,Red light violation,TC3627
2023-07-20,2023,10,7,52,Female,Equipment violation,TC8379
2023-08-03,2023,1,4,64,Male,Stop sign violation,TC8394
2023-12-29,2023,3,3,61,Male,Equipment violation,TC8916
2023-12-24,2023,11,2,59,Male,Seat belt violation,TC8762
2023-03-14,2023,2,4,48,Male,Speeding - 11-20 mph over limit,TC9686
2023-04-26,2023,6,1,47,Male,Red light violation,TC9248
2023-08-08,2023,11,2,27,Male,Stop sign violation,TC4264
2023-06-02,2023,10,2,49,Female,Red light violation,TC6038
2023-04-11,2023,12,4,34,Female,Unsafe lane change,TC5954
2023-05-16,2023,6,1,53,Female,Equipment violation,TC1120
2023-12-29,2023,2,3,21,Female,Speeding - 1-10 mph over limit,TC8138
2023-07-25,2023,7,7,33,Female,Following too closely,TC1208
2023-08-26,2023,9,1,37,Male,Seat belt violation,TC4694
2023-10-11,2023,12,6,20,Female,Speeding - 11-20 mph over limit,TC9583
2023-06-01,2023,11,1,50,Male,Equipment violation,TC4173
2023-10-03,2023,11,6,40,Male,Red light violation,TC2244
2023-06-08,2023,3,5,30,Male,Stop sign violation,TC6108
2023-04-24,2023,8,2,35,Female,Seat belt violation,TC7718
2023-01-29,2023,7,5,45,Female,Speeding - 1-10 mph over limit,TC1506
2023-10-25,2023,9,6,49,Female,Seat belt violation,TC6192
2023-02-06,2023,3,3,59,Male,Speeding - 11-20 mph over limit,TC5921
2023-03-19,2023,2,7,64,Female,Red light violation,TC6233
2023-05-04,2023,2,7,64,Female,Red light violation,TC4206
2023-01-31,2023,12,6,49,Male,Following too closely,TC2984
2023-10-03,2023,5,7,60,Male,Red light violation,TC8890
2023-01-28,2023,12,6,53,Female,Seat belt violation,TC7117
2023-04-02,2023,2,4,54,Male,Unsafe lane change,TC7903
2023-08-22,2023,12,4,38,Male,Red light violation,TC7860
2023-01-23,2023,10,6,21,Male,Red light violation,TC5480
2023-03-28,2023,8,4,61,Male,Speeding - 1-10 mph over limit,TC4709
2023-04-05,2023,8,4,37,Male,Red light violation,TC7955
2023-08-01,2023,9,2,23,Female,Stop sign violation,TC2842
2023-07-30,2023,8,3,25,Female,Following too closely,TC1609
2023-08-13,2023,9,7,47,Female,Speeding - 1-10 mph over limit,TC6900
2023-07-17,2023,12,6,39,Female,Following too closely,TC7561
2023-12-21,2023,5,2,51,Male,Equipment violation,TC4543
2023-11-16,2023,8,7,30,Male,Equipment violation,TC7274
2023-07-10,2023,5,1,37,Male,Following too closely,TC4678
2023-12-24,2023,3,2,44,Female,Stop sign violation,TC8841
2023-12-10,2023,10,1,26,Female,Speeding - 11-20 mph over limit,TC4362
2023-12-28,2023,9,4,59,Male,Following too closely,TC5814
2023-03-04,2023,3,5,19,Female,Red light violation,TC2769
2023-04-08,2023,3,6,62,Female,Stop sign violation,TC3888
2023-12-10,2023,5,1,24,Male,Seat belt violation,TC7482
2023-12-26,2023,9,4,18,Male,Speeding - 1-10 mph over limit,TC9494
2023-11-05,2023,7,3,21,Female,Speeding - 11-20 mph over limit,TC6777
2023-08-09,2023,5,3,18,Female,Mobile phone violation,TC4747
2023-11-10,2023,6,5,42,Male,Red light violation,TC7900
2023-08-31,2023,12,2,65,Male,Unsafe lane change,TC5187
2023-10-22,2023,7,7,53,Female,Speeding - 11-20 mph over limit,TC8159
2023-12-21,2023,7,4,22,Male,Stop sign violation,TC7743
2023-09-27,2023,12,6,43,Male,Stop sign violation,TC3897
2023-08-12,2023,1,6,57,Female,Seat belt violation,TC1734
2023-08-01,2023,2,2,22,Male,Red light violation,TC9931
2023-03-17,2023,6,6,59,Female,Speeding - 1-10 mph over limit,TC7908
2023-09-26,2023,12,3,26,Male,Speeding - 11-20 mph over limit,TC3169
2023-03-26,2023,2,3,65,Male,Speeding - 11-20 mph over limit,TC5253
2023-10-08,2023,1,7,60,Female,Speeding - 1-10 mph over limit,TC6545
2023-06-02,2023,4,7,27,Male,Following too closely,TC3942
2023-05-16,2023,3,2,64,Female,Following too closely,TC8422
2023-04-21,2023,3,3,23,Male,Speeding - 11-20 mph over limit,TC4976
2023-07-24,2023,12,3,57,Male,Stop sign violation,TC5651
2023-03-22,2023,3,2,18,Male,Speeding - 11-20 mph over limit,TC8320
2023-11-06,2023,10,6,37,Female,Seat belt violation,TC7861
2023-07-05,2023,11,3,34,Male,Equipment violation,TC6256
2023-06-26,2023,11,6,31,Female,Speeding - 11-20 mph over limit,TC2648
2023-02-15,2023,2,5,40,Male,Unsafe lane change,TC8845
2023-04-02,2023,4,6,33,Male,Stop sign violation,TC1006
2023-01-22,2023,2,7,54,Female,Seat belt violation,TC8904
2023-04-09,2023,2,6,18,Male,Seat belt violation,TC1163
2023-02-01,2023,11,2,26,Male,Stop sign violation,TC3943
2023-10-20,2023,1,5,54,Male,Following too closely,TC6602
2023-08-20,2023,6,5,29,Male,Mobile phone violation,TC7192
2023-01-15,2023,3,2,24,Female,Speeding - 11-20 mph over limit,TC7329
2023-08-18,2023,2,3,47,Male,Seat belt violation,TC4743
2023-10-15,2023,5,4,48,Male,Red light violation,TC7608
2023-01-30,2023,1,4,52,Male,Equipment violation,TC6681
2023-06-22,2023,7,7,43,Female,Red light violation,TC8581
2023-03-01,2023,9,5,29,Female,Unsafe lane change,TC6552
2023-07-14,2023,7,1,62,Female,Mobile phone violation,TC1945
2023-02-14,2023,1,7,47,Male,Stop sign violation,TC3100
2023-11-26,2023,4,2,45,Female,Stop sign violation,TC3111
2023-05-17,2023,5,6,45,Female,Equipment violation,TC8505
2023-12-13,2023,5,1,64,Male,Following too closely,TC3571
2023-01-07,2023,4,3,26,Female,Following too closely,TC8432
2023-02-19,2023,7,6,48,Male,Seat belt violation,TC5612
2023-03-26,2023,4,2,43,Female,Unsafe lane change,TC8345
2023-04-08,2023,3,6,47,Female,Unsafe lane change,TC9070
2023-01-13,2023,12,1,57,Male,Unsafe lane change,TC9962
2023-10-30,2023,6,4,38,Female,Red light violation,TC9537
2023-02-09,2023,1,3,19,Male,Speeding - 11-20 mph over limit,TC9567
2023-06-06,2023,1,3,42,Male,Seat belt violation,TC2443
2023-03-20,2023,1,6,27,Female,Stop sign violation,TC4144
2023-12-10,2023,7,2,36,Female,Stop sign violation,TC5130
2023-06-20,2023,5,6,33,Male,Speeding - 11-20 mph over limit,TC1981
2023-12-07,2023,10,7,21,Female,Red light violation,TC4336
2023-05-11,2023,7,4,20,Female,Equipment violation,TC9014
2023-01-22,2023,8,2,61,Male,Stop sign violation,TC4736
2023-10-21,2023,7,7,45,Male,Equipment violation,TC4346
2023-09-27,2023,4,6,50,Female,Stop sign violation,TC9831
2023-06-10,2023,6,3,28,Female,Following too closely,TC3997
2023-02-20,2023,9,1,37,Female,Following too closely,TC8180
2023-01-20,2023,6,2,50,Male,Unsafe lane change,TC8069
2023-03-14,2023,10,1,55,Female,Stop sign violation,TC5842
2023-11-10,2023,7,2,20,Male,Seat belt violation,TC6493
2023-09-07,2023,8,2,27,Female,Unsafe lane change,TC6634
2023-01-14,2023,4,3,29,Female,Unsafe lane change,TC6847
2023-08-22,2023,11,6,60,Female,Speeding - 1-10 mph over limit,TC4655
2023-07-19,2023,8,7,61,Male,Unsafe lane change,TC3108
2023-01-30,2023,9,3,60,Male,Mobile phone violation,TC9881
2023-01-17,2023,8,3,31,Female,Stop sign violation,TC2434
2023-06-07,2023,3,6,19,Female,Speeding - 11-20 mph over limit,TC9532
2023-06-05,2023,6,1,55,Male,Following too closely,TC1193
2023-11-26,2023,8,1,33,Male,Equipment violation,TC8008
2023-03-16,2023,1,4,31,Male,Speeding - 1-10 mph over limit,TC5459
2023-07-13,2023,8,3,40,Male,Equipment violation,TC8013
2023-11-13,2023,12,5,48,Female,Stop sign violation,TC6484
2023-09-05,2023,12,2,31,Male,Seat belt violation,TC1050
2023-05-30,2023,2,5,39,Male,Seat belt violation,TC7038
2023-10-08,2023,1,7,54,Female,Unsafe lane change,TC4934
2023-05-25,2023,1,7,48,Female,Following too closely,TC2561
2023-06-23,2023,5,4,45,Male,Speeding - 1-10 mph over limit,TC2360
2023-04-02,2023,7,2,23,Male,Speeding - 1-10 mph over limit,TC8283
2023-09-17,2023,1,2,51,Female,Unsafe lane change,TC1888
2023-05-23,2023,8,6,42,Female,Following too closely,TC3915
2023-02-04,2023,12,2,23,Male,Stop sign violation,TC4264
2023-07-23,2023,1,4,59,Male,Stop sign violation,TC7672
2023-01-29,2023,12,2,63,Female,Speeding - 1-10 mph over limit,TC2310
2023-03-31,2023,11,7,59,Male,Speeding - 11-20 mph over limit,TC9085
2023-04-13,2023,4,3,35,Male,Seat belt violation,TC3615
2023-04-25,2023,8,5,42,Female,Speeding - 1-10 mph over limit,TC6780
2023-03-28,2023,12,1,28,Female,Equipment violation,TC2910
2023-10-01,2023,8,2,28,Female,Unsafe lane change,TC3600
2023-10-21,2023,5,1,28,Female,Speeding - 1-10 mph over limit,TC9509
2023-12-07,2023,4,4,39,Female,Unsafe lane change,TC3065
2023-07-31,2023,7,3,33,Female,Speeding - 11-20 mph over limit,TC8022
2023-01-25,2023,7,7,23,Male,Equipment violation,TC6973
2023-05-27,2023,12,4,32,Male,Mobile phone violation,TC5409
2023-12-26,2023,10,5,35,Male,Speeding - 11-20 mph over limit,TC7075
2023-06-30,2023,9,1,22,Male,Seat belt violation,TC6566
2023-09-05,2023,9,7,28,Male,Unsafe lane change,TC7702
2023-03-01,2023,3,6,18,Female,Speeding - 11-20 mph over limit,TC9510
2023-01-10,2023,1,7,47,Female,Speeding - 1-10 mph over limit,TC6047
2023-10-31,2023,6,7,42,Female,Speeding - 11-20 mph over limit,TC6132
2023-04-06,2023,4,6,22,Male,Unsafe lane change,TC5550
2023-06-03,2023,6,7,62,Male,Seat belt violation,TC3520
2023-01-13,2023,10,6,44,Male,Stop sign violation,TC6469
2023-01-05,2023,4,5,38,Female,Speeding - 11-20 mph over limit,TC5568
2023-03-19,2023,11,7,32,Male,Seat belt violation,TC2868
2023-09-26,2023,11,2,37,Female,Speeding - 1-10 mph over limit,TC9925
2023-01-19,2023,3,4,20,Male,Red light violation,TC4658
2023-09-20,2023,4,3,37,Male,Equipment violation,TC7010
2023-09-28,2023,6,5,35,Female,Equipment violation,TC1249
2023-09-22,2023,2,4,56,Male,Following too closely,TC9959
2023-12-02,2023,4,3,55,Female,Following too closely,TC7533
2023-08-03,2023,2,1,60,Male,Equipment violation,TC4152
2023-11-13,2023,3,7,21,Male,Following too closely,TC2229
2023-02-01,2023,1,4,37,Female,Seat belt violation,TC5588
2023-06-26,2023,10,5,27,Male,Speeding - 1-10 mph over limit,TC5702
2023-12-28,2023,4,5,34,Female,Stop sign violation,TC3566
2023-08-13,2023,1,3,64,Female,Seat belt violation,TC7087
2023-12-13,2023,9,4,56,Female,Equipment violation,TC2094
